month,sample,sp_pred,action_pred,action_dur,shoal_beh,response,beh_response_dur,change_area,change_density
1,1,1,1,8,2,0,12,3.64,1.3
1,1,1,1,6,3,0,16,-3.44,11.66
1,1,2,0,0,6,1,45,4.5,5
1,3,2,0,0,6,1,50,2.34,-3.84
1,3,2,0,0,6,1,44,1.19,11.05
1,1,2,0,0,0,,0,0.71,1.22
1,1,2,1,15,3,0,16,-2.2,6.45
1,1,2,1,5,2,0,25,,
1,1,2,1,5,2,0,14,-1.82,9.64
1,1,2,1,3,2,0,13,-1.45,-2.37
1,1,2,1,5,3,0,38,-1.92,-8.4
1,2,1,1,3,3,0,3,1,9.91
1,2,1,1,3,2,0,20,,
1,2,1,1,3,2,0,5,,
1,2,1,1,3,2,0,3,,
1,2,1,1,3,2,0,8,,
1,2,1,1,2,2,0,12,1.67,-21.02
1,1,2,0,0,4,1,22,-0.11,-3.97
1,1,2,1,1,2,0,6,0.08,-5.36
1,1,2,0,0,4,1,18,0.02,6.2
1,1,2,1,1,2,0,8,,
1,3,1,1,3,3,0,16,2.17,-13.27
1,3,1,1,3,1,0,19,-2.87,6.23
1,3,1,1,1,1,0,12,-1.93,0.35
1,3,1,1,2,0,,38,,
1,2,1,1,6,2,0,15,-2.09,-19.44
1,1,2,0,0,0,,0,,
1,1,2,1,3,1,0,4,,
1,1,2,1,1,1,0,26,-1.52,5
1,1,2,1,3,2,0,8,-3.2,2.27
1,1,2,1,3,3,0,15,-4.2,13.21
1,1,2,1,4,2,0,29,,
1,1,2,0,0,6,1,29,-0.08,9.32
1,3,2,0,0,0,,0,,
1,3,2,0,0,0,,0,,
1,3,2,0,0,0,,0,,
1,1,2,1,9,1,0,30,0.93,3.35
1,1,2,1,4,1,0,5,5.24,0.76
1,1,2,1,4,2,0,21,-3.05,10.15
1,2,1,1,6,1,0,8,-1.28,-29.68
1,2,2,1,4,2,0,24,-2.49,27.58
1,3,2,1,3,2,0,25,-2.79,9.83
1,3,1,1,6,1,0,16,-1.96,-1.04
1,3,2,1,3,3,0,51,,
1,3,1,1,3,2,0,32,3.63,-0.44
2,2,2,0,0,0,,0,,
2,2,2,0,0,4,1,19,-1.24,15.84
2,3,2,0,0,4,1,57,-1.3,5.95
2,3,2,1,2,3,0,36,-4.63,-10.22
2,1,2,0,0,4,1,34,-2.55,-3.51
2,1,2,1,6,3,0,11,-2.89,0.25
2,1,2,0,0,6,1,29,-0.63,5.5
2,1,2,1,1,1,0,10,-4.3,22.2
2,1,2,0,0,4,1,38,-0.26,3.86
2,1,2,0,0,4,1,11,-0.79,-5.93
2,1,2,1,4,1,0,6,,
2,1,2,0,174,5,1,181,,
2,1,2,0,129,6,1,108,-2.73,-7.66
2,1,2,0,94,5,1,66,,
2,1,2,0,138,4,1,138,,
2,2,2,0,167,0,,167,,
2,2,2,0,110,5,1,111,,
2,2,2,0,128,6,1,106,1.72,13.84
2,2,2,0,101,6,1,102,-0.15,9.16
2,3,1,1,3,2,0,6,-3.01,20.51
2,3,1,1,1,2,0,27,0.79,-8.51
2,3,1,1,6,2,0,23,,
2,3,1,1,12,2,0,12,-1.38,-6.25
2,1,2,0,0,4,1,66,-1.42,7.17
2,1,2,0,28,5,1,29,-2.16,-0.57
2,1,2,1,2,1,0,34,,
2,1,2,0,44,4,1,45,0.19,2.93
2,1,2,1,1,1,0,6,,
2,1,2,0,291,4,1,296,,
2,3,2,0,26,4,1,27,-2.07,2.67
2,3,2,1,1,2,0,9,,
2,3,2,0,0,6,1,75,0.6,-7.96
2,3,2,0,14,6,1,15,2.56,2.56
2,3,2,1,1,2,0,11,2.05,-11.82
2,3,2,0,75,5,1,80,,
2,3,2,0,0,6,1,40,-1.12,-0.27
2,3,2,0,39,4,1,40,-2.06,-2.57
2,3,2,1,1,2,0,4,,
2,3,2,0,37,5,1,39,,
2,3,2,0,0,6,1,80,-0.04,1.33
2,3,2,0,0,6,1,61,0.48,2.32
2,4,2,0,0,4,1,202,0.2,-1.76
2,4,2,1,0,1,0,61,0.43,4.75
2,4,2,0,0,4,1,176,-0.71,9.84
2,1,2,0,0,4,1,75,-1.36,0.45
2,1,1,1,3,3,0,16,-2.77,-3.9
2,1,2,1,0,3,0,13,-1.34,-0.34
2,1,2,0,0,4,1,32,3.01,-8.43
2,1,2,1,1,3,0,7,-1.18,8
2,1,2,0,156,4,1,157,,
2,1,2,0,0,4,1,136,-2.36,-1.99
2,1,2,1,2,1,0,4,-1.53,10.12
2,1,2,0,0,4,1,96,,
2,2,2,0,0,4,1,105,-0.24,18.72
2,2,2,0,0,6,1,132,1.01,3.35
2,2,2,0,0,6,1,226,0.02,-7.07
2,2,1,1,3,2,0,10,-2.48,0.9
2,3,2,0,130,4,1,129,-2.67,-11.76
3,1,2,0,0,0,,192,0.11,-2.28
3,1,2,0,0,4,1,22,-0.48,3.16
3,1,1,1,1,3,0,22,-0.63,-1.56
3,1,1,1,2,2,0,22,-5.57,9.45
3,1,1,1,6,3,0,17,-3.32,-6.64
3,2,1,1,0,1,0,2,-1.34,-44.02
3,2,1,1,2,3,0,8,,
3,3,2,0,0,0,,47,-0.25,-0.25
3,3,2,0,0,0,,123,,
3,3,1,1,8,2,0,12,-1.99,-5.29
3,3,1,1,1,2,0,13,,
3,3,1,1,4,1,0,5,,
3,3,2,0,151,4,1,152,0.19,-1.82
3,3,2,1,1,2,0,12,-4.31,10.68
3,3,2,0,172,4,1,172,,
3,3,2,0,63,4,1,64,-1.35,0.87
3,3,2,0,41,4,1,41,-1.54,-0.61
3,3,2,1,1,3,0,17,,
3,3,2,0,94,4,1,94,,
3,3,2,1,1,2,0,6,,
3,3,2,1,1,3,0,22,,
3,4,2,0,146,0,,0,,
3,4,2,0,96,4,1,97,0.35,-6.69
3,4,2,0,87,0,,88,,
3,4,2,0,219,4,1,219,-0.76,2.87
3,1,2,0,94,4,1,94,-2.14,3.5
3,1,2,0,79,4,1,80,-2.11,0.31
3,1,2,0,80,4,1,80,-0.73,-0.33
3,1,2,0,41,4,1,41,-2.79,-2.39
3,1,2,0,127,4,1,127,0.82,1.24
3,1,2,0,18,4,1,19,0.58,3.25
3,1,2,1,2,3,0,21,-3.73,-6.24
3,1,2,0,23,4,1,23,-2.35,-4.69
3,1,2,1,1,3,0,15,,
3,1,2,0,249,4,1,309,,
3,1,2,0,241,4,1,242,,
3,1,2,0,104,4,1,105,-3.04,4.14
3,1,2,0,176,4,1,177,-0.63,2.75
3,1,2,1,1,3,0,21,,
3,1,2,0,172,6,1,172,,
3,1,2,0,132,4,1,132,,
3,1,2,0,284,4,1,284,-0.27,-3.45
3,1,2,0,170,5,1,170,-1.28,5.25
3,1,1,1,1,2,0,15,-4.8,9.67
3,1,1,1,4,2,0,29,,
3,1,1,1,2,2,0,13,,
3,1,1,1,2,0,,12,,
3,3,1,1,3,2,0,26,-2.1,16.4
3,3,1,1,3,1,0,17,,
3,3,1,1,2,2,0,10,,
3,3,1,1,13,2,0,32,-0.42,-30.85
3,4,2,0,0,0,,0,,
3,4,2,0,0,4,1,42,,
3,4,2,0,0,0,,312,,
3,4,2,0,0,0,,0,,
3,1,2,1,3,3,0,13,-5.28,-5.24
3,1,2,0,243,4,1,243,-0.53,0.1
3,1,2,1,0,3,0,7,,
3,1,2,1,3,3,0,10,,
3,1,2,1,4,1,0,26,,
3,1,2,0,60,4,1,60,-2.23,-3.13
3,3,1,1,3,1,0,8,-1.65,-3.05
3,3,1,1,2,1,0,25,,
3,3,1,1,3,1,0,14,,
3,3,1,1,6,1,0,23,,
3,3,1,1,2,2,0,66,,
3,3,2,0,94,0,,0,,
3,4,2,0,327,0,,0,,
3,4,2,0,1280,0,,0,,
3,1,2,0,153,4,1,154,-2.12,-0.07
3,1,2,1,2,3,0,4,-4.57,23.22
3,1,2,0,52,4,1,52,,
3,1,2,0,41,4,1,41,-2.64,-3.54
3,1,2,0,149,4,1,149,-2.1,5.79
3,1,1,1,4,3,0,15,-7.01,13.86
3,2,1,1,6,1,0,0,,
3,2,1,1,4,,,,,
3,3,2,0,56,5,1,56,-2.51,6.23
3,3,2,0,90,4,1,91,,
3,3,2,1,3,3,0,5,-3.78,-6.94
3,3,2,0,71,4,1,72,,
3,3,2,0,162,4,1,162,-2.3,-7.33
3,1,2,0,120,4,1,120,,
3,1,2,0,28,4,1,28,,
3,1,2,0,252,4,1,252,,
3,1,2,0,158,4,1,158,,
3,1,2,1,1,3,0,21,-2.82,3.22
3,1,2,0,128,4,1,131,,
3,1,2,0,97,4,1,97,,
3,1,2,1,3,3,0,10,-3.13,-3.77
3,1,2,0,478,4,1,478,,
3,1,2,0,359,4,1,360,,
3,1,2,0,60,4,1,60,,
3,2,2,0,29,4,1,29,,
3,2,2,0,290,4,1,290,,
3,2,2,0,151,4,1,151,,
3,2,1,1,2,2,0,11,3.42,-11.79
3,2,1,1,3,2,0,7,,
3,2,1,1,3,,,,,
3,2,2,0,107,0,,0,,
3,3,2,1,1,3,0,2,-4.76,2.49
3,3,2,0,15,4,1,15,,
3,3,2,0,79,4,1,80,,
3,3,2,0,292,4,1,292,,
3,3,2,1,2,2,0,5,-4.16,-0.64
3,3,2,0,231,6,1,229,,
3,3,2,0,271,4,1,271,,
3,3,1,1,3,2,0,5,-5.59,-42.03
3,3,2,0,36,4,1,37,,
3,3,2,1,1,3,0,10,,
3,3,2,0,44,4,1,45,,
3,3,2,0,58,4,1,59,,
3,3,2,0,89,4,1,90,,
3,3,2,0,66,4,1,66,,
3,3,2,0,55,4,1,56,,
